,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
12,2280,2280,12333480,1018,False,2,2,19,9.1e-05,0.914286,0.240317,96,ReLU(),118,0.934959,0.859212,0.914286,0.818895,0.93038,0.84997,0.942857,0.877622,True,0.013781999999999961,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8907192215578159,Global,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
26,7547,7547,12338747,1018,False,2,2,19,8.9e-05,0.942857,0.293213,95,ReLU(),118,0.926829,0.841915,0.942857,0.87831,0.93038,0.84997,0.942857,0.880705,True,0.010685333333333288,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8992695229567349,Global,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
15,11615,11615,12342815,918,False,1,1,19,7.8e-05,0.928571,0.258814,92,ReLU(),118,0.922764,0.834284,0.928571,0.845016,0.924051,0.836586,0.914286,0.822753,True,0.0038713333333333377,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8920560296698821,Global,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
29,18794,18794,12349994,1418,False,6,6,19,8.8e-05,0.9,0.307493,94,ReLU(),118,0.930894,0.848698,0.9,0.79402,0.924051,0.835571,0.857143,0.708113,True,0.020595999999999986,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8729511172107303,Global,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
11,23377,23377,12354577,1318,False,5,5,19,8.7e-05,0.929577,0.268727,79,ReLU(),118,0.938776,0.86794,0.929577,0.848203,0.936709,0.863386,0.942857,0.880705,True,0.0061326666666667124,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8969875574349782,Global,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
64,28271,28271,12359471,1018,False,2,2,19,8.2e-05,0.914286,0.293254,95,ReLU(),118,0.918699,0.825729,0.914286,0.814532,0.917722,0.823228,0.914286,0.822753,False,0.002942,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8843856622273552,Global,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
16,36135,36135,12367335,1518,False,7,7,19,8.6e-05,0.914286,0.304203,92,ReLU(),118,0.943089,0.877567,0.914286,0.818895,0.936709,0.864369,0.885714,0.75333,False,0.01920199999999994,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8963195385071492,Global,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
22,40884,40884,12372084,1018,False,2,2,19,8e-05,0.942857,0.258178,77,ReLU(),118,0.918699,0.825729,0.942857,0.875595,0.924051,0.836586,0.914286,0.822753,False,0.016105333333333267,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8975170835693218,Global,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
28,45922,45922,12377122,918,False,1,1,19,8.4e-05,0.942857,0.249781,96,ReLU(),118,0.926829,0.841784,0.942857,0.875595,0.936709,0.862604,0.914286,0.822753,True,0.010685333333333288,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8908075168735649,Global,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
3,53968,53968,12385168,1418,False,6,6,19,9.4e-05,0.957143,0.232061,88,ReLU(),118,0.922764,0.832248,0.957143,0.910028,0.93038,0.84997,0.914286,0.822753,True,0.02291933333333329,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8946401827090344,Global,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
